student Name,student Surname,student Imperial College e-mail address,student Interests,tutor First Name,tutor Last Name,tutor Email address,tutor Interests,tutor Preferred role,examiner First Name,examiner Last Name,examiner Email address,examiner Interests,examiner Preferred role,Score1,Score2,Score3
Student16,SStudent16,student16@ic.ac.uk,Malaria and other Infectious Diseases;Microbiology;Cancer Biology and Immunology;Cell and Developmental Biology;Plant Science;Neurobiology;Synthetic Biology;Structural Biology and Protein Science;Bioinformatics and Computational Biology;Biophysics;,Surname17,Name17,email1@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology,Plant Science,Microbiology",Neutral,Surname80,Name80,email2@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology,Microbiology",Examiner,3.9954769048356717,0.8660254037844388,0.8660254037844388
Student18,SStudent18,student18@ic.ac.uk,Microbiology;Malaria and other Infectious Diseases;Plant Science;Synthetic Biology;Cell and Developmental Biology;Cancer Biology and Immunology;Neurobiology;Biophysics;Structural Biology and Protein Science;Bioinformatics and Computational Biology;,Surname87,Name87,email1@ic.ac.uk,"Plant Science,Microbiology",Neutral,Surname63,Name63,email1@ic.ac.uk,Microbiology,Examiner,4.160604053625562,0.7071067811865475,0.7071067811865475
Student19,SStudent19,student19@ic.ac.uk,Cancer Biology and Immunology;Synthetic Biology;Malaria and other Infectious Diseases;Plant Science;Cell and Developmental Biology;Microbiology;Structural Biology and Protein Science;Neurobiology;Bioinformatics and Computational Biology;Biophysics;,Surname11,Name11,email1@ic.ac.uk,"Cancer Biology and Immunology,Plant Science",Examiner,Surname79,Name79,email1@ic.ac.uk,"Biophysics,Plant Science",Neutral,2.726142374915397,0.4999999999999999,0.4999999999999999
Student21,SStudent21,student21@ic.ac.uk,Plant Science;Microbiology;Structural Biology and Protein Science;Synthetic Biology;Cell and Developmental Biology;Cancer Biology and Immunology;Bioinformatics and Computational Biology;Malaria and other Infectious Diseases;Biophysics;Neurobiology;,Surname85,Name85,email1@ic.ac.uk,"Cell and Developmental Biology,Plant Science",Neutral,Surname83,Name83,email1@ic.ac.uk,"Cell and Developmental Biology,Bioinformatics and Computational Biology,Plant Science",Examiner,3.8289753880593693,0.816496580927726,0.816496580927726
Student28,SStudent28,student28@ic.ac.uk,Cancer Biology and Immunology;Cell and Developmental Biology;Structural Biology and Protein Science;Plant Science;Microbiology;Malaria and other Infectious Diseases;Neurobiology;Synthetic Biology;Biophysics;Bioinformatics and Computational Biology;,Surname94,Name94,email2@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology,Plant Science",Neutral,Surname36,Name36,email2@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology",Examiner,4.398234518518148,0.816496580927726,0.816496580927726
Student1,SStudent1,student1@ic.ac.uk,Neurobiology;Cancer Biology and Immunology;Malaria and other Infectious Diseases;Cell and Developmental Biology;Microbiology;Plant Science;Structural Biology and Protein Science;Synthetic Biology;Biophysics;Bioinformatics and Computational Biology;,Surname49,Name49,email1@ic.ac.uk,"Neurobiology,Cell and Developmental Biology",Neutral,Surname86,Name86,email2@ic.ac.uk,"Neurobiology,Cell and Developmental Biology",Examiner,4.276142374915397,0.9999999999999998,0.9999999999999998
Student2,SStudent2,student2@ic.ac.uk,Cancer Biology and Immunology;Malaria and other Infectious Diseases;Neurobiology;Microbiology;Cell and Developmental Biology;Structural Biology and Protein Science;Plant Science;Synthetic Biology;Bioinformatics and Computational Biology;Biophysics;,Surname69,Name69,email1@ic.ac.uk,"Malaria and other Infectious Diseases,Cancer Biology and Immunology",Neutral,Surname24,Name24,email2@ic.ac.uk,"Malaria and other Infectious Diseases,Cancer Biology and Immunology,Microbiology",Examiner,4.436462672338355,0.816496580927726,0.816496580927726
Student5,SStudent5,student5@ic.ac.uk,Neurobiology;Synthetic Biology;Malaria and other Infectious Diseases;Microbiology;Cancer Biology and Immunology;Cell and Developmental Biology;Plant Science;Biophysics;Structural Biology and Protein Science;Bioinformatics and Computational Biology;,Surname101,Name101,email1@ic.ac.uk,"Malaria and other Infectious Diseases,Synthetic Biology",Neutral,Surname19,Name19,email1@ic.ac.uk,Malaria and other Infectious Diseases,Neutral,3.846334373098207,0.7071067811865475,0.7071067811865475
Student6,SStudent6,student6@ic.ac.uk,Microbiology;Malaria and other Infectious Diseases;Neurobiology;Cell and Developmental Biology;Structural Biology and Protein Science;Cancer Biology and Immunology;Plant Science;Synthetic Biology;Biophysics;Bioinformatics and Computational Biology;,Surname29,Name29,email1@ic.ac.uk,"Cell and Developmental Biology,Malaria and other Infectious Diseases,Microbiology",Neutral,Surname100,Name100,email2@ic.ac.uk,Microbiology,Examiner,4.0848759720736485,0.5773502691896258,0.5773502691896258
Student8,SStudent8,student8@ic.ac.uk,Neurobiology;Malaria and other Infectious Diseases;Cancer Biology and Immunology;Microbiology;Structural Biology and Protein Science;Cell and Developmental Biology;Synthetic Biology;Biophysics;Bioinformatics and Computational Biology;Plant Science;,Surname16,Name16,email2@ic.ac.uk,"Cancer Biology and Immunology,Microbiology,Structural Biology and Protein Science",Neutral,Surname7,Name7,email1@ic.ac.uk,"Biophysics,Microbiology,Structural Biology and Protein Science",Examiner,3.3180910099303667,0.6666666666666669,0.6666666666666669
Student12,SStudent12,student12@ic.ac.uk,Cancer Biology and Immunology;Malaria and other Infectious Diseases;Synthetic Biology;Cell and Developmental Biology;Structural Biology and Protein Science;Microbiology;Neurobiology;Plant Science;Bioinformatics and Computational Biology;Biophysics;,Surname96,Name96,email2@ic.ac.uk,"Malaria and other Infectious Diseases,Cancer Biology and Immunology",Neutral,Surname23,Name23,email1@ic.ac.uk,"Malaria and other Infectious Diseases,Cancer Biology and Immunology,Microbiology",Examiner,4.436462672338355,0.816496580927726,0.816496580927726
Student13,SStudent13,student13@ic.ac.uk,Microbiology;Neurobiology;Structural Biology and Protein Science;Synthetic Biology;Malaria and other Infectious Diseases;Cancer Biology and Immunology;Bioinformatics and Computational Biology;Cell and Developmental Biology;Plant Science;Biophysics;,Surname62,Name62,email2@ic.ac.uk,"Microbiology,Structural Biology and Protein Science",Neutral,Surname8,Name8,email2@ic.ac.uk,"Microbiology,Structural Biology and Protein Science",Examiner,4.488832770734629,0.9999999999999998,0.9999999999999998
Student26,SStudent26,student26@ic.ac.uk,Microbiology;Synthetic Biology;Neurobiology;Cell and Developmental Biology;Structural Biology and Protein Science;Bioinformatics and Computational Biology;Malaria and other Infectious Diseases;Plant Science;Cancer Biology and Immunology;Biophysics;,Surname3,Name3,email1@ic.ac.uk,"Cell and Developmental Biology,Synthetic Biology",Neutral,Surname93,Name93,email1@ic.ac.uk,"Cell and Developmental Biology,Bioinformatics and Computational Biology",Examiner,3.369007534651719,0.4999999999999999,0.4999999999999999
Student29,SStudent29,student29@ic.ac.uk,Structural Biology and Protein Science;Synthetic Biology;Cancer Biology and Immunology;Malaria and other Infectious Diseases;Microbiology;Cell and Developmental Biology;Neurobiology;Bioinformatics and Computational Biology;Biophysics;Plant Science;,Surname28,Name28,email2@ic.ac.uk,"Cancer Biology and Immunology,Structural Biology and Protein Science",Neutral,Surname90,Name90,email2@ic.ac.uk,"Cancer Biology and Immunology,Structural Biology and Protein Science",Neutral,4.488832770734629,0.9999999999999998,0.9999999999999998
Student30,SStudent30,student30@ic.ac.uk,Structural Biology and Protein Science;Synthetic Biology;Cell and Developmental Biology;Cancer Biology and Immunology;Malaria and other Infectious Diseases;Microbiology;Bioinformatics and Computational Biology;Plant Science;Biophysics;Neurobiology;,Surname37,Name37,email1@ic.ac.uk,"Cancer Biology and Immunology,Structural Biology and Protein Science",Neutral,Surname40,Name40,email2@ic.ac.uk,"Cell and Developmental Biology,Structural Biology and Protein Science",Examiner,3.692809041582063,0.4999999999999999,0.4999999999999999
Student31,SStudent31,student31@ic.ac.uk,Cancer Biology and Immunology;Cell and Developmental Biology;Synthetic Biology;Structural Biology and Protein Science;Neurobiology;Microbiology;Malaria and other Infectious Diseases;Plant Science;Biophysics;Bioinformatics and Computational Biology;,Surname31,Name31,email1@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology",Neutral,Surname5,Name5,email1@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology",Examiner,4.701523166553862,0.9999999999999998,0.9999999999999998
Student17,SStudent17,student17@ic.ac.uk,Cancer Biology and Immunology;Malaria and other Infectious Diseases;Microbiology;Synthetic Biology;Cell and Developmental Biology;Neurobiology;Plant Science;Structural Biology and Protein Science;Bioinformatics and Computational Biology;Biophysics;,Surname14,Name14,email2@ic.ac.uk,"Cancer Biology and Immunology,Microbiology",Neutral,Surname25,Name25,email1@ic.ac.uk,"Cancer Biology and Immunology,Microbiology",Examiner,4.488832770734629,0.9999999999999998,0.9999999999999998
Student23,SStudent23,student23@ic.ac.uk,Neurobiology;Malaria and other Infectious Diseases;Microbiology;Cancer Biology and Immunology;Cell and Developmental Biology;Plant Science;Structural Biology and Protein Science;Synthetic Biology;Bioinformatics and Computational Biology;Biophysics;,Surname15,Name15,email1@ic.ac.uk,Neurobiology,Neutral,Surname102,Name102,email2@ic.ac.uk,Neurobiology,Examiner,4.5,1.0,1.0
Student25,SStudent25,student25@ic.ac.uk,Cancer Biology and Immunology;Neurobiology;Microbiology;Synthetic Biology;Malaria and other Infectious Diseases;Cell and Developmental Biology;Plant Science;Structural Biology and Protein Science;Biophysics;Bioinformatics and Computational Biology;,Surname41,Name41,email1@ic.ac.uk,"Cancer Biology and Immunology,Microbiology",Neutral,Surname88,Name88,email2@ic.ac.uk,"Cancer Biology and Immunology,Biophysics",Examiner,3.8499438818457405,0.4999999999999999,0.4999999999999999
Student32,SStudent32,student32@ic.ac.uk,Cancer Biology and Immunology;Microbiology;Cell and Developmental Biology;Malaria and other Infectious Diseases;Synthetic Biology;Neurobiology;Structural Biology and Protein Science;Plant Science;Bioinformatics and Computational Biology;Biophysics;,Surname91,Name91,email1@ic.ac.uk,"Cancer Biology and Immunology,Microbiology",Neutral,Surname73,Name73,email1@ic.ac.uk,"Cancer Biology and Immunology,Microbiology",Neutral,4.701523166553862,0.9999999999999998,0.9999999999999998
Student11,SStudent11,student11@ic.ac.uk,Cell and Developmental Biology;Cancer Biology and Immunology;Neurobiology;Microbiology;Synthetic Biology;Malaria and other Infectious Diseases;Plant Science;Bioinformatics and Computational Biology;Biophysics;Structural Biology and Protein Science;,Surname12,Name12,email2@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology",Neutral,Surname61,Name61,email1@ic.ac.uk,"Cell and Developmental Biology,Cancer Biology and Immunology",Examiner,4.701523166553862,0.9999999999999998,0.9999999999999998
